virus,host,interaction
PG-2021_2,Staphylococcus_hyicus,NoInf
PG-2021_2,Staphylococcus_kloosii,NoInf
PG-2021_2,Staphylococcus_lentus,NoInf
PG-2021_2,Staphylococcus_lugdunensis,Inf
PG-2021_2,Staphylococcus_nepalensis,NoInf
PG-2021_2,Staphylococcus_pasteuri,NoInf
PG-2021_2,Staphylococcus_pettenkoferi,NoInf
PG-2021_2,Staphylococcus_pseudintermedius,NoInf
PG-2021_2,Staphylococcus_saprophyticus,NoInf
PG-2021_2,Staphylococcus_schleiferi,Inf
PG-2021_2,Staphylococcus_sciuri,NoInf
PG-2021_2,Staphylococcus_succinus,Inf
PG-2021_2,Staphylococcus_vitulinus,Inf
PG-2021_2,Staphylococcus_warneri,NoInf
PG-2021_2,Staphylococcus_xylosus,Inf
PG-2021_31,Staphylococcus_arlettae,NoInf
PG-2021_31,Staphylococcus_aureus,NoInf
PG-2021_31,Staphylococcus_auricularis,NoInf
PG-2021_31,Staphylococcus_capitis,NoInf
PG-2021_31,Staphylococcus_caprae,NoInf
PG-2021_31,Staphylococcus_chromogenes,NoInf
PG-2021_31,Staphylococcus_cohnii,NoInf
PG-2021_31,Staphylococcus_epidermidis,NoInf
PG-2021_31,Staphylococcus_equorum,NoInf
PG-2021_31,Staphylococcus_fleuretti,NoInf
PG-2021_31,Staphylococcus_haemolyticus,NoInf
PG-2021_31,Staphylococcus_hominis,NoInf
PG-2021_31,Staphylococcus_hyicus,NoInf
PG-2021_31,Staphylococcus_kloosii,Inf
PG-2021_31,Staphylococcus_lentus,Inf
PG-2021_31,Staphylococcus_lugdunensis,NoInf
PG-2021_31,Staphylococcus_nepalensis,NoInf
PG-2021_31,Staphylococcus_pasteuri,NoInf
PG-2021_31,Staphylococcus_pettenkoferi,NoInf
PG-2021_31,Staphylococcus_pseudintermedius,NoInf
PG-2021_31,Staphylococcus_saprophyticus,NoInf
PG-2021_31,Staphylococcus_schleiferi,Inf
PG-2021_31,Staphylococcus_sciuri,Inf
PG-2021_31,Staphylococcus_succinus,Inf
PG-2021_31,Staphylococcus_vitulinus,Inf
PG-2021_31,Staphylococcus_warneri,NoInf
PG-2021_31,Staphylococcus_xylosus,Inf
PG-2021_33,Staphylococcus_arlettae,NoInf
PG-2021_33,Staphylococcus_aureus,Inf
PG-2021_33,Staphylococcus_auricularis,NoInf
PG-2021_33,Staphylococcus_capitis,NoInf
